SubCount,Category,LikeCount,LikeCountRounded,LikedOrDisliked,ViewCount,ViewCountRounded
63239277,24,171969,172000,Liked,2393308,239350000
63239277,24,374081,374000,Liked,4034079,403400000
63239277,24,523171,523000,Disliked,9277923,927800000
63239277,24,427382,427500,Disliked,5711378,571150000
63239277,24,301086,301000,Liked,3983743,398350000
63239277,24,331388,331500,Disliked,5759269,575950000
63239277,24,351332,351500,Liked,5194836,519500000
63239277,20,185754,186000,Disliked,3376149,337600000
63239277,20,239012,239000,Liked,3594168,359400000
63239277,24,378934,379000,Liked,4326168,432600000
63239277,24,256156,256000,Liked,3690811,369100000
63239277,24,319163,319000,Liked,4742236,474200000
63239277,24,328431,328500,Liked,4744137,474400000
63239277,24,263768,264000,Liked,4789236,478900000
63239277,24,267530,267500,Liked,3417455,341750000
63239277,24,518273,518500,Liked,5089568,508950000
63239277,24,178249,178000,Disliked,2974147,297400000
63239277,24,188784,189000,Liked,3010389,301050000
63239277,24,487267,487500,Liked,5257192,525700000
63239277,24,312170,312000,Disliked,6311954,631200000
63239277,24,319489,319500,Disliked,5241906,524200000
63239277,24,577841,578000,Liked,6902328,690250000
63239277,24,438592,438500,Disliked,6525341,652550000
63239277,20,335114,335000,Liked,3746196,374600000
63239277,24,353502,353500,Liked,6116512,611650000
63239277,24,228648,228500,Disliked,3759664,375950000
63239277,24,468776,469000,Disliked,7606805,760700000
63239277,24,669509,669500,Liked,5456053,545600000
63239277,24,255601,255500,Disliked,4288183,428800000
63239277,24,185910,186000,Disliked,3020811,302100000
63239277,24,504034,504000,Liked,7109065,710900000
63239277,24,697644,697500,Liked,3685215,368500000
63239277,24,204207,204000,Disliked,3562412,356250000
63239277,24,242356,242500,Disliked,4578817,457900000
63239277,24,315508,315500,Disliked,3843761,384400000
63239277,24,200128,200000,Disliked,3506038,350600000
63239277,24,329169,329000,Disliked,5134506,513450000
63239277,22,259624,259500,Liked,3145789,314600000
63239277,24,257948,258000,Liked,3759672,375950000
63239277,24,667511,667500,Liked,7734661,773450000
63239277,24,177606,177500,Disliked,3134440,313450000
63239277,24,265838,266000,Liked,4507673,450750000
63239277,22,250300,250500,Liked,3585990,358600000
63239277,24,238790,239000,Liked,4024519,402450000
63239277,24,296269,296500,Disliked,5721193,572100000
63239277,24,374605,374500,Liked,7104904,710500000
63239277,23,381828,382000,Liked,5573287,557350000
63239277,24,307666,307500,Liked,5502515,550250000
63239277,22,267669,267500,Liked,4037091,403700000
48040144,10,3110,3000,Disliked,141255,14150000
48040144,10,4028,4000,Disliked,197234,19700000
48040144,10,9959,10000,Disliked,491159,49100000
48040144,10,5147,5000,Disliked,415209,41500000
48040144,10,650496,650500,Disliked,26426843,2642700000
48040144,10,17007,17000,Disliked,975063,97500000
48040144,10,228384,228500,Disliked,16258143,1625800000
48040144,10,3183,3000,Disliked,150729,15050000
48040144,10,2073,2000,Disliked,117699,11750000
48040144,10,3100,3000,Disliked,118354,11850000
48040144,10,3268,3500,Disliked,182918,18300000
48040144,10,10755,11000,Disliked,235071,23500000
48040144,10,1694,1500,Disliked,125917,12600000
48040144,10,2599,2500,Disliked,90659,9050000
48040144,10,4600,4500,Disliked,253257,25350000
48040144,10,4046,4000,Disliked,219722,21950000
48040144,10,14562,14500,Disliked,563230,56300000
48040144,10,6275,6500,Disliked,277244,27700000
48040144,10,15055,15000,Disliked,638605,63850000
48040144,10,4934,5000,Disliked,315084,31500000
48040144,10,2863,3000,Disliked,163641,16350000
48040144,10,6820,7000,Disliked,297196,29700000
48040144,10,318031,318000,Disliked,17683754,1768400000
48040144,10,12951,13000,Disliked,1000387,100050000
48040144,10,2201,2000,Disliked,200015,20000000
48040144,10,2587,2500,Disliked,158167,15800000
48040144,10,12431,12500,Disliked,549306,54950000
48040144,10,1168,1000,Disliked,97913,9800000
48040144,10,1340,1500,Disliked,133850,13400000
48040144,10,1503,1500,Disliked,96327,9650000
48040144,10,1427,1500,Disliked,93606,9350000
48040144,10,210,0,Disliked,26200,2600000
48040144,10,2927,3000,Disliked,123990,12400000
48040144,10,3137,3000,Disliked,153109,15300000
48040144,10,1020,1000,Disliked,67629,6750000
48040144,10,1017,1000,Disliked,97320,9750000
48040144,10,4775,5000,Disliked,244171,24400000
48040144,10,43616,43500,Disliked,7045010,704500000
48040144,10,5340,5500,Disliked,450940,45100000
48040144,10,1413,1500,Disliked,94569,9450000
48040144,10,1274,1500,Disliked,86629,8650000
48040144,10,812,1000,Disliked,81921,8200000
48040144,10,624,500,Disliked,49980,5000000
48040144,10,2358,2500,Disliked,117525,11750000
48040144,10,12786,13000,Disliked,2259928,226000000
48040144,10,10309,10500,Disliked,1150990,115100000
48040144,10,1082,1000,Disliked,63781,6400000
48040144,10,22525,22500,Disliked,3216821,321700000
48040144,10,1954,2000,Disliked,151546,15150000
39333756,24,10202,10000,Disliked,138402,13850000
39333756,24,90924,91000,Liked,1754049,175400000
39333756,24,113743,113500,Liked,2734893,273500000
39333756,24,46063,46000,Liked,981264,98150000
39333756,24,33098,33000,Liked,486818,48700000
39333756,24,44795,45000,Liked,441820,44200000
39333756,24,21707,21500,Liked,227080,22700000
39333756,24,34779,35000,Liked,712887,71300000
39333756,24,31067,31000,Liked,508836,50900000
39333756,24,95717,95500,Liked,3456834,345700000
39333756,24,86195,86000,Liked,2222225,222200000
39333756,24,69534,69500,Liked,1594206,159400000
39333756,24,275404,275500,Liked,12938467,1293850000
39333756,24,25132,25000,Liked,463107,46300000
39333756,24,33086,33000,Liked,454309,45450000
39333756,24,14278,14500,Liked,128488,12850000
39333756,24,270680,270500,Disliked,12740504,1274050000
