
SubCount,AvgViews,AvgLikes,AvgDislikes,LastViews,LastLikes,LastDislikes,ViewCount
63188347,943500,110414,1322,1886999,220827,2644,3510065
63188347,1799021,187290,1891,3510065,341044,3029,7970649
63188347,3341928,259168,3829,7970649,474801,9643,5187358
63188347,3711014,288095,4770,5187358,403801,8533,3903216
63188347,3743048,289593,4630,3903216,297082,3928,5563197
63188347,4003069,294594,5546,5563197,324606,11046,5143437
63188347,4145615,301420,5696,5143437,349197,6746,3325059
63188347,4054442,288365,5559,3325059,183929,4465,3551486
63188347,4004147,283265,5336,3551486,237365,3322,4274990
63188347,4028769,291757,5266,4274990,376673,4566,3593732
63188347,3992516,288477,5198,3593732,252403,4455,4721604
63188347,4048599,290774,5051,4721604,318333,3281,4687768
63188347,4094254,293334,5121,4687768,326621,6040,4773989
63188347,4139570,291327,5016,4773989,263221,3546,3392613
63188347,4092885,289783,4807,3392613,266621,1665,5062731
63188347,4149935,303158,4766,5062731,517169,4109,2966974
63188347,4084215,296202,4738,2966974,177944,4258,3002133
63188347,4027263,290531,4673,3002133,188460,3512,5234252
63188347,4087613,300324,4651,5234252,486382,4224,6248278
63188347,4190501,300814,4779,6248278,310605,7356,5177602
63188347,4235370,301534,5044,5177602,316657,10596,6879119
63188347,4350315,313503,5269,6879119,576832,10220,6468729
63188347,4438583,318639,5472,6468729,436753,10149,3738157
63188347,4410565,319282,5424,3738157,334724,4261,6101678
63188347,4475608,320570,5383,6101678,352767,4366,3746922
63188347,4448620,317152,5437,3746922,228282,6841,7476638
63188347,4556763,322416,6937,7476638,464537,47432,5434683
63188347,4587036,334361,6919,5434683,668829,6415,4280299
63188347,4576812,331727,6865,4280299,255342,5291,3010169
63188347,4526275,327014,6829,3010169,185635,5770,7079635
63188347,4606068,332511,6838,7079635,502896,7109,3681556
63188347,4578052,343568,6805,3681556,697410,5744,3557308
63188347,4548030,339464,6797,3557308,204026,6546,4571091
63188347,4548689,336684,6929,4571091,242157,11395,3839079
63188347,4528978,336088,8710,3839079,315230,71054,3500323
63188347,4501176,332408,8759,3500323,199937,10532,5126951
63188347,4517644,332316,8704,5126951,328926,6665,3142584
63188347,4482386,330449,8529,3142584,259482,1876,3747899
63188347,4464024,328626,8441,3747899,257516,5017,7726474
63188347,4543596,336885,8386,7726474,667257,6170,3121101
63188347,4509727,333082,8304,3121101,177146,4931,4503750
63188347,4509588,331515,8196,4503750,265701,3671,3584480
63188347,4488563,329667,8110,3584480,250224,4405,4018275
63188347,4478112,327644,8034,4018275,238648,4725,5683455
63188347,4504315,326944,8162,5683455,295410,13888,7085863
63188347,4559241,327949,8109,7085863,374203,5668,5567781
63188347,4580253,329069,8099,5567781,381691,7628,5497221
63188347,4598966,328629,8023,5497221,307528,4396,4034855
63188347,4587684,327408,7926,4034855,267594,3179,5134731
47824405,167435,3988,406,334870,7975,811,372898
