SubCount,Category,AvgViews,AvgViewsRounded,AvgLikes,AvgLikesRounded,AvgDislikes,AvgDislikesRounded,LastViews,LastViewsRounded,LastLikes,LastLikesRounded,LastDislikes,LastDislikesRounded,LastComments,LikeCount,LikeCountRounded,LikedOrDisliked,ViewCount,ViewCountRounded
63239277,24,1459783,1450000,126851,127000,1146,1000,2919565,2900000,253702,253500,2291,2500,25306,171969,172000,Liked,2393308,239350000
63239277,24,1770958,1750000,141890,142000,1603,1500,2393308,2400000,171969,172000,2518,2500,16669,374081,374000,Liked,4034079,403400000
63239277,24,2336738,2350000,199938,200000,2046,2000,4034079,4050000,374081,374000,3376,3500,50337,523171,523000,Disliked,9277923,927800000
63239277,24,3724975,3700000,264585,264500,3903,4000,9277923,9300000,523171,523000,11331,11500,65969,427382,427500,Disliked,5711378,571150000
63239277,24,4056042,4050000,291718,291500,5114,5000,5711378,5700000,427382,427500,11167,11000,75186,301086,301000,Liked,3983743,398350000
63239277,24,4045714,4050000,293056,293000,4953,5000,3983743,4000000,301086,301000,3987,4000,39804,331388,331500,Disliked,5759269,575950000
63239277,24,4259908,4250000,297847,298000,5742,5500,5759269,5750000,331388,331500,11268,11500,44781,351332,351500,Liked,5194836,519500000
63239277,20,4363789,4350000,303790,304000,5858,6000,5194836,5200000,351332,351500,6782,7000,31483,185754,186000,Disliked,3376149,337600000
63239277,20,4265025,4250000,291987,292000,5724,5500,3376149,3400000,185754,186000,4524,4500,22284,239012,239000,Liked,3594168,359400000
63239277,24,4204038,4200000,287171,287000,5509,5500,3594168,3600000,239012,239000,3352,3500,28740,378934,379000,Liked,4326168,432600000
63239277,24,4214216,4200000,294818,295000,5433,5500,4326168,4350000,378934,379000,4599,4500,28734,256156,256000,Liked,3690811,369100000
63239277,24,4173954,4150000,291844,292000,5366,5500,3690811,3700000,256156,256000,4561,4500,21509,319163,319000,Liked,4742236,474200000
63239277,24,4214545,4200000,293795,294000,5218,5000,4742236,4750000,319163,319000,3291,3500,36125,328431,328500,Liked,4744137,474400000
63239277,24,4249851,4250000,296104,296000,5275,5500,4744137,4750000,328431,328500,6084,6000,37192,263768,264000,Liked,4789236,478900000
63239277,24,4283563,4300000,294083,294000,5168,5000,4789236,4800000,263768,264000,3558,3500,22260,267530,267500,Liked,3417455,341750000
63239277,24,4232615,4250000,292521,292500,4963,5000,3417455,3400000,267530,267500,1679,1500,17438,518273,518500,Liked,5089568,508950000
63239277,24,4280224,4300000,305063,305000,4916,5000,5089568,5100000,518273,518500,4117,4000,70692,178249,178000,Disliked,2974147,297400000
63239277,24,4211483,4200000,298388,298500,4882,5000,2974147,2950000,178249,178000,4266,4500,24568,188784,189000,Liked,3010389,301050000
63239277,24,4151428,4150000,292908,293000,4813,5000,3010389,3000000,188784,189000,3515,3500,18990,487267,487500,Liked,5257192,525700000
63239277,24,4204084,4200000,302163,302000,4786,5000,5257192,5250000,487267,487500,4232,4000,56824,312170,312000,Disliked,6311954,631200000
63239277,24,4299896,4300000,302618,302500,4906,5000,6311954,6300000,312170,312000,7428,7500,24923,319489,319500,Disliked,5241906,524200000
63239277,24,4340853,4350000,303352,303500,5158,5000,5241906,5250000,319489,319500,10697,10500,40221,577841,578000,Liked,6902328,690250000
63239277,24,4447581,4450000,314789,315000,5368,5500,6902328,6900000,577841,578000,10220,10000,24499,438592,438500,Disliked,6525341,652550000
63239277,20,4530691,4550000,319741,319500,5562,5500,6525341,6550000,438592,438500,10213,10000,45762,335114,335000,Liked,3746196,374600000
63239277,24,4500519,4500000,320332,320500,5512,5500,3746196,3750000,335114,335000,4268,4500,26488,353502,353500,Liked,6116512,611650000
63239277,24,4560370,4550000,321561,321500,5470,5500,6116512,6100000,353502,353500,4373,4500,28597,228648,228500,Disliked,3759664,375950000
63239277,24,4531774,4550000,318242,318000,5520,5500,3759664,3750000,228648,228500,6852,7000,35831,468776,469000,Disliked,7606805,760700000
63239277,24,4637809,4650000,323433,323500,6983,7000,7606805,7600000,468776,469000,47955,48000,92903,669509,669500,Liked,5456053,545600000
63239277,24,4665084,4650000,334969,335000,6964,7000,5456053,5450000,669509,669500,6430,6500,24434,255601,255500,Disliked,4288183,428800000
63239277,24,4652926,4650000,332409,332500,6911,7000,4288183,4300000,255601,255500,5296,5500,23901,185910,186000,Disliked,3020811,302100000
63239277,24,4601922,4600000,327831,328000,6875,7000,3020811,3000000,185910,186000,5780,6000,17049,504034,504000,Liked,7109065,710900000
63239277,24,4677896,4700000,333170,333000,6883,7000,7109065,7100000,504034,504000,7134,7000,52298,697644,697500,Liked,3685215,368500000
63239277,24,4648700,4650000,343890,344000,6850,7000,3685215,3700000,697644,697500,5746,5500,26261,204207,204000,Disliked,3562412,356250000
63239277,24,4617663,4600000,339899,340000,6841,7000,3562412,3550000,204207,204000,6547,6500,17880,242356,242500,Disliked,4578817,457900000
63239277,24,4616584,4600000,337190,337000,6968,7000,4578817,4600000,242356,242500,11401,11500,24816,315508,315500,Disliked,3843761,384400000
63239277,24,4595697,4600000,336604,336500,8701,8500,3843761,3850000,315508,315500,71091,71000,112801,200128,200000,Disliked,3506038,350600000
63239277,24,4567022,4550000,333012,333000,8749,8500,3506038,3500000,200128,200000,10536,10500,24567,329169,329000,Disliked,5134506,513450000
63239277,22,4581572,4600000,332914,333000,8696,8500,5134506,5150000,329169,329000,6673,6500,32240,259624,259500,Liked,3145789,314600000
63239277,24,4545678,4550000,331081,331000,8525,8500,3145789,3150000,259624,259500,1876,2000,19722,257948,258000,Liked,3759672,375950000
63239277,24,4526507,4550000,329298,329500,8440,8500,3759672,3750000,257948,258000,5025,5000,38179,667511,667500,Liked,7734661,773450000
63239277,24,4602892,4600000,337350,337500,8386,8500,7734661,7750000,667511,667500,6171,6000,57780,177606,177500,Disliked,3134440,313450000
63239277,24,4568742,4550000,333635,333500,8306,8500,3134440,3150000,177606,177500,4950,5000,23769,265838,266000,Liked,4507673,450750000
63239277,22,4567354,4550000,332094,332000,8201,8000,4507673,4500000,265838,266000,3671,3500,28581,250300,250500,Liked,3585990,358600000
63239277,24,4545546,4550000,330277,330500,8116,8000,3585990,3600000,250300,250500,4405,4500,34044,238790,239000,Liked,4024519,402450000
63239277,24,4534219,4550000,328288,328500,8043,8000,4024519,4000000,238790,239000,4728,4500,22097,296269,296500,Disliked,5721193,572100000
63239277,24,4559474,4550000,327607,327500,8168,8000,5721193,5700000,296269,296500,13925,14000,48131,374605,374500,Liked,7104904,710500000
63239277,23,4612503,4600000,328586,328500,8116,8000,7104904,7100000,374605,374500,5674,5500,68540,381828,382000,Liked,5573287,557350000
63239277,24,4632111,4650000,329672,329500,8106,8000,5573287,5550000,381828,382000,7633,7500,52132,307666,307500,Liked,5502515,550250000
63239277,22,4649519,4650000,329232,329000,8032,8000,5502515,5500000,307666,307500,4399,4500,28800,267669,267500,Liked,4037091,403700000
48040144,10,34956,50000,2093,2000,86,0,69911,50000,4185,4000,171,0,428,3110,3000,Disliked,141255,14150000
48040144,10,70389,50000,2432,2500,206,0,141255,150000,3110,3000,447,500,447,4028,4000,Disliked,197234,19700000
48040144,10,102100,100000,2831,3000,244,0,197234,200000,4028,4000,356,500,503,9959,10000,Disliked,491159,49100000
48040144,10,179912,200000,4256,4500,396,500,491159,500000,9959,10000,1005,1000,1159,5147,5000,Disliked,415209,41500000
48040144,10,219128,200000,4405,4500,408,500,415209,400000,5147,5000,470,500,535,650496,650500,Disliked,26426843,2642700000
48040144,10,3963087,3950000,96704,96500,6409,6500,26426843,26450000,650496,650500,42415,42500,50824,17007,17000,Disliked,975063,97500000
48040144,10,3589584,3600000,86742,86500,5756,6000,975063,1000000,17007,17000,1182,1000,1862,228384,228500,Disliked,16258143,1625800000
48040144,10,4997202,5000000,102480,102500,7813,8000,16258143,16250000,228384,228500,24270,24500,16990,3183,3000,Disliked,150729,15050000
48040144,10,4512555,4500000,92550,92500,7054,7000,150729,150000,3183,3000,228,0,460,2073,2000,Disliked,117699,11750000
48040144,10,4113022,4100000,84325,84500,6434,6500,117699,100000,2073,2000,230,0,292,3100,3000,Disliked,118354,11850000
48040144,10,3780133,3800000,77556,77500,5921,6000,118354,100000,3100,3000,279,500,611,3268,3500,Disliked,182918,18300000
48040144,10,3503424,3500000,71842,72000,5490,5500,182918,200000,3268,3500,316,500,358,10755,11000,Disliked,235071,23500000
48040144,10,3269971,3250000,67478,67500,5125,5000,235071,250000,10755,11000,385,500,1028,1694,1500,Disliked,125917,12600000
48040144,10,3060367,3050000,63093,63000,4804,5000,125917,150000,1694,1500,309,500,379,2599,2500,Disliked,90659,9050000
48040144,10,2874760,2850000,59312,59500,4511,4500,90659,100000,2599,2500,113,0,347,4600,4500,Disliked,253257,25350000
48040144,10,2720554,2700000,56093,56000,4269,4500,253257,250000,4600,4500,390,500,517,4046,4000,Disliked,219722,21950000
48040144,10,2581619,2600000,53202,53000,4048,4000,219722,200000,4046,4000,306,500,528,14562,14500,Disliked,563230,56300000
48040144,10,2475388,2500000,51168,51000,3879,4000,563230,550000,14562,14500,826,1000,1006,6275,6500,Disliked,277244,27700000
48040144,10,2365481,2350000,48924,49000,3704,3500,277244,300000,6275,6500,377,500,733,15055,15000,Disliked,638605,63850000
48040144,10,2283249,2300000,47311,47500,3559,3500,638605,650000,15055,15000,671,500,1321,4934,5000,Disliked,315084,31500000
48040144,10,2193787,2200000,45385,45500,3424,3500,315084,300000,4934,5000,573,500,679,2863,3000,Disliked,163641,16350000
48040144,10,2105519,2100000,43536,43500,3288,3500,163641,150000,2863,3000,303,500,574,6820,7000,Disliked,297196,29700000
48040144,10,2030173,2050000,42006,42000,3182,3000,297196,300000,6820,7000,747,500,745,318031,318000,Disliked,17683754,1768400000
48040144,10,2656316,2650000,53047,53000,3575,3500,17683754,17700000,318031,318000,13007,13000,13553,12951,13000,Disliked,1000387,100050000
48040144,10,2592626,2600000,51505,51500,3481,3500,1000387,1000000,12951,13000,1120,1000,1308,2201,2000,Disliked,200015,20000000
48040144,10,2504011,2500000,49679,49500,3366,3500,200015,200000,2201,2000,386,500,334,2587,2500,Disliked,158167,15800000
48040144,10,2420231,2400000,47997,48000,3259,3500,158167,150000,2587,2500,373,500,448,12431,12500,Disliked,549306,54950000
48040144,10,2355716,2350000,46770,47000,3179,3000,549306,550000,12431,12500,940,1000,1265,1168,1000,Disliked,97913,9800000
48040144,10,2280456,2300000,45250,45500,3077,3000,97913,100000,1168,1000,124,0,198,1340,1500,Disliked,133850,13400000
48040144,10,2211211,2200000,43834,44000,2989,3000,133850,150000,1340,1500,346,500,284,1503,1500,Disliked,96327,9650000
48040144,10,2145121,2150000,42511,42500,2904,3000,96327,100000,1503,1500,277,500,317,1427,1500,Disliked,93606,9350000
48040144,10,2082954,2100000,41266,41500,2824,3000,93606,100000,1427,1500,265,500,264,210,0,Disliked,26200,2600000
48040144,10,2022461,2000000,40059,40000,2743,2500,26200,50000,210,0,64,0,63,2927,3000,Disliked,123990,12400000
48040144,10,1968219,1950000,38998,39000,2672,2500,123990,100000,2927,3000,250,500,459,3137,3000,Disliked,153109,15300000
48040144,10,1917799,1900000,38002,38000,2616,2500,153109,150000,3137,3000,650,500,458,1020,1000,Disliked,67629,6750000
48040144,10,1867794,1850000,37002,37000,2549,2500,67629,50000,1020,1000,130,0,159,1017,1000,Disliked,97320,9750000
48040144,10,1821203,1800000,36055,36000,2490,2500,97320,100000,1017,1000,324,500,207,4775,5000,Disliked,244171,24400000
48040144,10,1780766,1800000,35253,35500,2434,2500,244171,250000,4775,5000,306,500,578,43616,43500,Disliked,7045010,704500000
48040144,10,1912372,1900000,35462,35500,2418,2500,7045010,7050000,43616,43500,1773,2000,1666,5340,5500,Disliked,450940,45100000
48040144,10,1876728,1900000,34727,34500,2376,2500,450940,450000,5340,5500,708,500,676,1413,1500,Disliked,94569,9450000
48040144,10,1834295,1850000,33934,34000,2326,2500,94569,100000,1413,1500,267,500,430,1274,1500,Disliked,86629,8650000
48040144,10,1793652,1800000,33175,33000,2278,2500,86629,100000,1274,1500,290,500,402,812,1000,Disliked,81921,8200000
48040144,10,1754749,1750000,32439,32500,2229,2000,81921,100000,812,1000,125,0,97,624,500,Disliked,49980,5000000
48040144,10,1716865,1700000,31732,31500,2182,2000,49980,50000,624,500,76,0,37,2358,2500,Disliked,117525,11750000
48040144,10,1682097,1700000,31094,31000,2141,2000,117525,100000,2358,2500,330,500,326,12786,13000,Disliked,2259928,226000000
48040144,10,1694391,1700000,30704,30500,2120,2000,2259928,2250000,12786,13000,1117,1000,589,10309,10500,Disliked,1150990,115100000
